,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
193,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
194,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
195,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
196,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
197,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
198,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
199,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
200,36005004200.0,4.594317891,7.572958995,0.0,30710.0,66.19037613,9.921887984,88.2896195,86.57537753,12.3880215
201,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
202,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
203,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
204,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
205,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
206,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
207,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
208,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
209,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
210,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
211,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
212,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
213,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
214,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
215,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
216,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
217,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
218,36005004400.0,3.171390013,4.584352078,0.0,19077.0,45.54727344,11.82763744,94.80440098,84.2780027,17.02654071
